Violation Type,Accurate,Display img(without .jpg),"lat, long",Date (YYYY-MM-DD)
Rubble Source,95,1,"24.62503,46.7092",11/14/2022
Major Asphalt,7,2,"24.62488,46.70893",11/14/2022
Rubble Source,95,3,"24.6475,46.70259",11/14/2022
Rubble Source,95,5,"24.67188,46.69218",11/14/2022
Rubble Source,95,7,"24.67152,46.69241",11/14/2022
Rubble Source,95,9,"24.67134,46.69253",11/14/2022
Rubble Source,95,10,"24.68044,46.68813",11/14/2022
Rubble Source,95,10,"24.66005,46.70085",11/14/2022
Rubble Source,95,12,"24.67117,46.69265",11/14/2022
Street Sweeping,95,13,"24.70544,46.67516",11/14/2022
Street Sweeping,95,14,"24.671,46.69278",11/14/2022
Median,95,15,"24.63044,46.71588",11/14/2022
Rubble Source,95,16,"24.67083,46.69293",11/14/2022
Rubble Source,95,17,"24.65959,46.70091",11/14/2022
Street Sweeping,95,18,"24.67066,46.69307",11/14/2022
Median,95,21,"24.63015,46.71597",11/14/2022
Rubble Source,95,22,"24.67032,46.69339",11/14/2022
Street Sweeping,95,23,"24.67032,46.69339",11/14/2022
Median,95,24,"24.63196,46.71576",11/14/2022
Rubble Source,95,25,"24.67,46.69373",11/14/2022
Street Sweeping,95,26,"24.66984,46.69391",11/14/2022
Median,95,27,"24.63184,46.7158",11/14/2022
Rubble Source,95,28,"24.66968,46.69409",11/14/2022
Median,95,29,"24.63173,46.71584",11/14/2022
Street Sweeping,95,30,"24.66968,46.69409",11/14/2022
Median,95,31,"24.63161,46.71588",11/14/2022
Rubble Source,95,32,"24.64381,46.70303",11/14/2022
Street Sweeping,95,33,"24.70086,46.6776",11/14/2022
Rubble Source,95,34,"24.64324,46.70308",11/14/2022
Rubble Source,95,35,"24.64306,46.7031",11/14/2022
Minor Asphalt,95,36,"24.62704,46.71216",11/14/2022
Minor Asphalt,95,37,"24.64289,46.70312",11/14/2022
Minor Asphalt,95,38,"24.62704,46.71216",11/14/2022
Rubble Source,95,39,"24.64273,46.70314",11/14/2022
Major Asphalt,95,40,"24.62679,46.71179",11/14/2022
Rubble Source,95,41,"24.6422,46.70319",11/14/2022
Minor Asphalt,95,42,"24.62667,46.71159",11/14/2022
Rubble Source,95,43,"24.70381,46.67597",11/14/2022
Minor Asphalt,95,44,"24.62819,46.70886",11/14/2022
Rubble Source,95,45,"24.65328,46.70177",11/14/2022
Rubble Source,95,46,"24.63427,46.70392",11/14/2022
Rubble Source,95,47,"24.62507,46.70926",11/14/2022
Minor Asphalt,95,48,"24.63024,46.70724",11/14/2022
Communication Tower,95,49,"24.7068,46.67471",11/14/2022
Rubble Source,95,50,"24.67365,46.69122",11/14/2022
Street Sweeping,95,51,"24.6315,46.7043",11/14/2022
Major Asphalt,95,52,"24.69054,46.68283",11/14/2022
Street Sweeping,95,54,"24.63144,46.7043",11/14/2022
Rubble Source,95,55,"24.67348,46.69132",11/14/2022
Rubble Source,95,56,"24.6733,46.69141",11/14/2022
Rubble Source,95,57,"24.67312,46.69151",11/14/2022
Minor Asphalt,95,58,"24.62819,46.70897",11/14/2022
Rubble Source,95,1140,"24.671039,46.69926",11/14/2022
Rubble Source,95,1145,"24.671228,46.69968",11/14/2022
Rubble Source,95,1150,"24.670842,46.699033",11/14/2022
Street Sweeping,95,1150,"24.673881,46.695102",11/14/2022
Fly Poster,95,225,"24.673424,46.695331",11/14/2022
Fly Poster,95,505,"24.67313,46.694706",11/14/2022
Fly Poster,95,600,"24.672211,46.696033",11/14/2022
Tree,95,90,"24.72885,46.66716",11/14/2022
Tree,98,95,"24.72886,46.66719",11/14/2022
Tree,98,105,"24.72889,46.66723",11/14/2022
Tree,94,120,"24.72891,46.66729",11/14/2022
Tree,99,125,"24.72895,46.66736",11/14/2022
Tree,92,125,"24.72902,46.66753",11/14/2022
Tree,97,130,"24.72906,46.66763",11/14/2022
Tree,97,130,"24.72911,46.66774",11/14/2022
Tree,93,135,"24.72915,46.66786",11/14/2022
Tree,90,140,"24.72927,46.66312",11/14/2022
Tree,98,145,"24.72973,46.66921",11/14/2022
Tree,98,150,"24.72998,46.6698",11/14/2022
Tree,98,210,"24.73019,46.67032",11/14/2022
Tree,97,215,"24.73057,46.67119",11/14/2022
Tree,99,220,"24.73074,46.67196",11/14/2022
Tree,99,225,"24.75495,46.66837",11/14/2022
Tree,97,230,"24.75492,46.66839",11/14/2022
Tree,93,235,"24.72779,46.66401",11/14/2022
Tree,92,240,"24.72778,46.6641",11/14/2022
Tree,94,275,"24.7286,46.66656",11/14/2022
Tree,97,285,"24.72881,46.66707",11/14/2022
Tree,97,290,"24.72882,46.6671",11/14/2022
Tree,99,295,"24.72883,46.66713",11/14/2022
Tree,98,300,"24.72884,46.66714",11/14/2022
Tree,99,305,"24.73331,46.66506",11/14/2022
Tree,98,310,"24.73308,46.66519",11/14/2022
Tree,97,315,"24.73225,46.66565",11/14/2022
Tree,98,320,"24.68063,46.701132",11/14/2022
Tree,99,325,"24.73578,46.65972",11/14/2022
Tree,99,330,"24.73426,46.66045",11/14/2022
Tree,99,335,"24.74874,46.63497",11/14/2022
Tree,99,340,"24.7497,46.63393",11/14/2022
Tree,99,345,"24.74981,46.63387",11/14/2022
Tree,99,350,"24.75077,46.63339",11/14/2022
Tree,97,360,"24.62825,46.70657",11/14/2022
Tree,93,430,"24.62627,46.70667",11/14/2022
Tree,93,435,"24.62638,46.70677",11/14/2022
Tree,98,440,"24.62667,46.70916",11/14/2022
Tree,99,455,"24.62667,46.70927",11/14/2022
Tree,99,460,"24.62668,46.70934",11/14/2022
Tree,99,465,"24.62669,46.7094",11/14/2022
Tree,99,470,"24.62688,46.70965",11/14/2022
Tree,99,475,"24.62715,46.70963",11/14/2022
Tree,99,480,"24.6272,46.70962",11/14/2022
Tree,99,480,"24.62726,46.7096",11/14/2022
Tree,99,485,"24.62746,46.70958",11/14/2022
Tree,99,485,"24.62753,46.70957",11/14/2022
Tree,99,490,"24.6276,46.70956",11/14/2022
Tree,99,490,"24.62774,46.70954",11/14/2022
Tree,99,495,"24.62844,46.70949",11/14/2022
Tree,99,500,"24.62849,46.70948",11/14/2022
Tree,99,505,"24.62858,46.70947",11/14/2022
Tree,99,510,"24.62863,46.70946",11/14/2022
Tree,92,555,"24.62868,46.70945",11/14/2022
Tree,98,560,"24.62879,46.70944",11/14/2022
Tree,99,575,"24.62898,46.70941",11/14/2022
Tree,99,580,"24.62905,46.7094",11/14/2022
Tree,98,580,"24.62917,46.70939",11/14/2022
Tree,97,585,"24.62923,46.70937",11/14/2022
Tree,99,585,"24.62932,46.7093",11/14/2022
Tree,98,595,"24.62936,46.70925",11/14/2022
Tree,99,640,"24.62929,46.70731",11/14/2022
Tree,99,645,"24.62918,46.70729",11/14/2022
Tree,96,665,"24.62908,46.70731",11/14/2022
Tree,99,725,"24.62889,46.70735",11/14/2022
Tree,97,780,"24.7576,46.66258",11/14/2022
Tree,99,830,"24.7576,46.66258",11/14/2022
Tree,98,830,"24.7576,46.66358",11/14/2022
Tree,92,835,"24.7576,46.66258",11/14/2022
Tree,99,835,"24.75155,46.67025",11/14/2022
Tree,97,840,"24.75339,46.6693",11/14/2022
Tree,98,845,"24.75343,46.66927",11/14/2022
Tree,94,855,"24.75347,46.66925",11/14/2022
Tree,97,860,"24.75351,46.66923",11/14/2022
Tree,98,865,"24.75355,46.66921",11/14/2022
Tree,99,890,"24.75357,46.66919",11/14/2022
Tree,95,1010,"24.7536,46.66918",11/14/2022
Tree,98,1015,"24.75362,46.66917",11/14/2022
Tree,98,1080,"24.75365,46.66915",11/14/2022
Tree,98,1295,"24.75367,46.66914",11/14/2022
Tree,94,1300,"24.75368,46.66913",11/14/2022
Tree,99,1360,"24.7537,46.66911",11/14/2022
Tree,99,1365,"24.75383,46.66904",11/14/2022
Tree,99,1370,"24.73564,46.65056",11/14/2022
Tree,96,1420,"24.73577,46.65049",11/14/2022
Tree,97,1425,"24.73603,46.65037",11/14/2022
Tree,99,1430,"24.73771,46.64956",11/14/2022
Tree,95,1470,"24.73775,46.64954",11/14/2022
Tree,99,1475,"24.7378,46.64951",11/14/2022
Tree,95,1480,"24.73785,46.64948",11/14/2022
Tree,96,1485,"24.73792,46.64945",11/14/2022
Tree,91,110,"24.73799,46.64941",11/14/2022
Tree,90,115,"24.73208,46.64937",11/14/2022
Tree,96,120,"24.73816,46.64932",11/14/2022
Tree,93,125,"24.73826,46.64927",11/14/2022
Tree,97,140,"24.75677,46.66303",11/14/2022
Tree,95,145,"24.75675,46.66305",11/14/2022
Tree,92,150,"24.75675,46.66308",11/14/2022
Tree,93,205,"24.75676,46.66311",11/14/2022
Tree,90,210,"24.75703,46.66385",11/14/2022
Tree,96,215,"24.75711,46.66405",11/14/2022
Tree,96,400,"24.75742,46.6648",11/14/2022
Tree,98,405,"24.75747,46.6649",11/14/2022
Tree,95,410,"24.75752,46.66501",11/14/2022
Tree,93,415,"24.75756,46.66512",11/14/2022
Tree,99,475,"24.75773,46.66554",11/14/2022
Tree,99,550,"24.75778,46.66564",11/14/2022
Tree,98,710,"24.75782,46.66575",11/14/2022
Tree,98,715,"24.72786,46.66404",11/14/2022
Tree,99,720,"24.72782,46.66401",11/14/2022
Tree,99,725,"24.7275,46.6639",11/14/2022
Tree,99,730,"24.72728,46.66406",11/14/2022
Tree,99,735,"24.72654,46.66436",11/14/2022
Tree,98,740,"24.63704,46.70375",11/14/2022
Tree,98,745,"24.63683,46.7038",11/14/2022
Tree,98,750,"24.63495,46.7039",11/14/2022
Tree,98,755,"24.63157,46.70429",11/14/2022
Tree,99,760,"24.72552,46.6693",11/14/2022
Tree,99,765,"24.72553,46.66929",11/14/2022
Tree,98,770,"24.72555,46.66927",11/14/2022
Tree,96,775,"24.72561,46.66923",11/14/2022
Tree,91,785,"24.72647,46.66881",11/14/2022
Tree,97,805,"24.72657,46.66876",11/14/2022
Tree,98,810,"24.72678,46.66865",11/14/2022
Tree,98,815,"24.72805,46.66792",11/14/2022
Tree,98,820,"24.72809,46.66789",11/14/2022
Tree,95,825,"24.72812,46.66787",11/14/2022
Tree,98,840,"24.72814,46.66786",11/14/2022
Tree,99,845,"24.72816,46.66784",11/14/2022
Tree,98,850,"24.75185,46.66995",11/14/2022
Tree,99,885,"24.75175,46.67",11/14/2022
Tree,99,890,"24.75156,46.67008",11/14/2022
Tree,99,895,"24.62823,46.70947",11/14/2022
Tree,99,910,"24.62833,46.70946",11/14/2022
